id,should_trigger,prompt,reason
T01,true,"Как увеличить throughput API, не ухудшая консистентность?","явное техническое противоречие"
T02,true,"Компонент должен быть горячим при работе и холодным при хранении","физическое противоречие"
T03,true,"Проведи функциональный анализ процесса обработки заявки","явный запрос инструмента ТРИЗ"
T04,true,"Нужно уменьшить массу детали без потери прочности","инженерный конфликт"
T05,true,"Найди ключевой недостаток и ИКР, а не компромисс","явный TRIZ workflow"
N01,false,"Исправь SyntaxError в Python","рутинная отладка"
N02,false,"Переведи абзац на английский","перевод"
N03,false,"Посчитай среднее значение","вычисление"
N04,false,"Дай пять названий проекта","обычный brainstorm без конфликта"
N05,false,"Отформатируй README","редактирование текста"
